feature,importance_mean,importance_std
no_congen,0.5223356238223382,0.0005950075178777393
ca_cchd,0.23287414159546732,0.0015574022087344794
ca_disor,0.19266140133925658,0.002319587228461364
ca_cleft,0.1581977895444872,0.0020868741829373413
ca_hypo,0.13661742839366528,0.0022386335454094458
ca_clpal,0.13181782320921923,0.0020425512593320655
ca_cdh,0.12056473452528312,0.0023030981446457966
ca_mnsb,0.11548001545415545,0.002391119901891695
ca_omph,0.11411448799740653,0.0016716176082153375
ca_limb,0.1005394163301175,0.002297578357979423
ca_anen,0.095058311035306,0.0017835493446048804
ca_gast,0.09344852327687661,0.001763320268025871
mage_c,0.009997588216633513,0.0005364931303082691
ab_nicu,0.004562211435971297,0.0005895721469783054
dbwt,0.0037653162981748033,0.0004731173815600716
gestrec10,0.0022840525651016243,0.0002709703124793238
no_abnorm,0.0008880531326797836,0.00013253633391036506
dmeth_rec,0.0008545872399129296,0.00017511310254186968
wtgain,0.0008403135185958088,0.00021825026855734825
me_pres,0.0005440724116301421,6.460553108447068e-05
year,0.00047145107846763843,5.6685712292388e-05
ld_indl,0.00041178721882835224,7.619012914518204e-05
meduc,0.0003256346710466873,6.675251204145095e-05
bmi,0.0002844501742557626,8.762934505276857e-05
ab_aven6,0.0002673374368510173,6.836815281346747e-05
mracehisp,0.0002660637429453327,0.00013315968606796396
ab_aven1,0.00026555366874266294,0.0001427004317437369
ab_anti,0.0002532786998212244,9.757666870045094e-05
precare,0.00020638938903648761,8.985951524546391e-05
rf_inftr,0.00017701750125672655,4.163982765946496e-05
bfacil3,0.00014108641079837447,0.00012302782151692312
apgar5,0.00014013109535652714,0.00010833510863232156
fagecomb,0.0001341348430465461,0.00024979901877625874
ab_surf,9.685771527924158e-05,4.191240522024566e-05
pwgt_r,8.525242375472807e-05,6.698774824832096e-05
rf_phype,8.29168650191725e-05,3.525557961585684e-05
dob_wk,7.365091154217795e-05,4.207374960210713e-05
sex,5.746206026050471e-05,5.795939922740533e-05
rf_ghype,4.296496940732753e-05,3.403928712990225e-05
fracehisp,3.563691855473783e-05,4.2303952361909954e-05
ab_seiz,3.468678682221893e-05,3.688486190981624e-05
rf_fedrg,2.8618104849786886e-05,1.39789813358562e-05
ld_augm,2.680629112946642e-05,1.188574780718568e-05
wic,1.963825231328653e-05,7.579876633215143e-06
no_risks,1.462565492783563e-05,3.131385926445318e-05
rf_artec,1.3148369007709438e-05,1.8960180442031035e-05
dob_mm,8.753224357077593e-06,6.71195322210978e-05
rf_ehype,8.232867452134807e-06,4.212895075430815e-06
rf_ppterm,3.904539906190996e-06,1.817700319702711e-05
dob_tt_pm,3.562970401477239e-06,1.2520172793865391e-05
rf_pdiab,3.1328672844999074e-06,2.073279419343941e-05
apgar10,-1.1871298380206063e-06,1.9166229057521246e-06
feduc,-2.4861315341628832e-06,4.849125343289518e-05
pay_rec,-1.1230462271849539e-05,2.907705590636036e-05
rf_gdiab,-3.043707031756271e-05,1.673898770830113e-05
