feature,importance_gain
no_congen,3460954.4490423203
mage_c,2632284.3059613705
ca_disor,1180693.2736964226
ca_cchd,1132995.9303774834
ca_anen,996309.7359333038
ca_cdh,888399.0126066208
ca_mnsb,724907.4344468117
ca_clpal,685987.2415995598
year,427233.699552536
ca_cleft,416478.0082578659
ca_gast,396627.0858826637
no_abnorm,320753.576646328
ca_omph,316965.9387931824
ca_hypo,314773.9429974556
ab_nicu,267846.3482608795
ca_limb,254829.93094682693
dbwt,146899.65616178513
dmeth_rec,91726.89867401123
wtgain,52944.26625943184
gestrec10,46255.42996931076
bmi,23845.83094549179
fagecomb,21380.23506975174
ab_aven1,20986.303918361664
mracehisp,18935.768110752106
ab_anti,12413.932774066925
bfacil3,11924.327914237976
dob_mm,9155.579633235931
meduc,7787.326211452484
precare,7346.112996339798
ld_indl,5519.8696372509
fracehisp,5428.121250629425
apgar5,4723.48258972168
ab_aven6,4522.284515380859
dob_wk,3488.553925514221
me_pres,3189.031150817871
