feature,importance_mean,importance_std
no_congen,0.5235561971025406,0.00045212709861722824
ca_cchd,0.3368946694681453,0.002524244070833631
ca_disor,0.2404558535905088,0.0025045472131232168
ca_cleft,0.10783671411367042,0.0027099586636899126
ca_hypo,0.08847179313619508,0.0021788022066714144
ca_omph,0.07923583430663259,0.0005868565331154354
ca_clpal,0.0620908891811053,0.0022246834198755643
ca_mnsb,0.057838302966869495,0.0020288126363437035
ca_cdh,0.05618757637069836,0.002029000636665303
ca_limb,0.05432108743968126,0.0020375477386487878
ca_gast,0.05260642425588571,0.0019271649931539908
ca_anen,0.043324651890112933,0.0003975779038034662
year,0.026492843555527206,0.0006317393158970887
mage_c,0.008227768696779858,0.0005242117487860013
ab_nicu,0.005683221802920429,0.0004607953257207285
dbwt,0.0029975737680228596,0.00029547589448002755
no_abnorm,0.0026192330922604145,0.0002583674759478107
gestrec10,0.002285237085115166,0.0002334699499895911
dmeth_rec,0.0009042845603571437,0.00019526271428560853
wtgain,0.0008490534580732456,0.00020959175513686156
ab_aven1,0.0005227306514506757,0.00014456133062789805
meduc,0.0005056854673828826,0.00011424633558341925
mracehisp,0.00044232663023878184,0.0001899610401502789
me_pres,0.0004252565381777096,0.00010041088464140075
ab_anti,0.00034324716562154635,0.00012260235131044756
bmi,0.0003203788996278156,0.00010310553703707999
precare,0.0002930129848699281,0.00010310751878196143
bfacil3,0.0002631836425416867,0.00012633757369524015
apgar5,0.00011951103633420224,0.00010571494146515685
