feature,mean_abs_shap
no_congen,3.5493730655503164
year,0.565549061491358
mage_c,0.5363177568537264
ab_nicu,0.46789122170650377
dbwt,0.2550943955749154
ca_disor,0.23006109532736613
ca_cchd,0.20083148614804247
gestrec10,0.1676161650186489
mracehisp,0.09273433206075005
no_abnorm,0.07955178396860044
wtgain,0.073905574689107
ca_hypo,0.06934155149350477
ab_aven1,0.06797612365083786
ca_clpal,0.0643478450069444
ca_cdh,0.06238503047581991
ca_cleft,0.05911958359811945
ca_mnsb,0.055024973749248876
ca_limb,0.054855004521630495
ab_anti,0.05245246405960313
ca_omph,0.04947426086809049
precare,0.0368059395862258
ca_anen,0.03641925858674476
ca_gast,0.03486101638903308
dmeth_rec,0.032015712371822866
bfacil3,0.02358562342170084
meduc,0.023022731360122863
bmi,0.021131399748369764
apgar5,0.017614503580017468
me_pres,0.0156322770670521
