feature,importance_mean,importance_std
ca_disor,0.011391126485760508,0.0003700965559419855
ca_cchd,0.011205411846156399,0.0002270275557868361
mage_c,0.009056518674826052,0.000381875848994957
ab_nicu,0.004267670960446208,0.0004963619089268301
dbwt,0.003654340408495594,0.00021353924361526414
gestrec10,0.0021049598368702914,0.00027653440186816027
dmeth_rec,0.0013229919950557458,0.00024331499982757821
mracehisp,0.0007731553486008812,0.00013180866860300033
meduc,0.0007188002031827667,0.00021412368826558104
wtgain,0.0007117533476918708,0.00023466837869584684
year,0.000522720209985867,0.00019416336661892187
precare,0.0004379985889323711,0.00019631789663369345
bfacil3,0.0004003658722851848,0.0001953127358799462
ab_aven1,0.0003292244022808716,0.00014022604216404176
rf_ghype,0.00026969730905992105,9.381488721798431e-05
ab_aven6,0.0002599799210936386,0.0002481984150981014
bmi,0.0002268280151016388,0.0002080439725886492
rf_artec,0.0002239544083607426,0.00012530215550561033
rf_phype,0.00018299538626030676,7.233046340114327e-05
ca_clpal,0.00017808701754182637,2.474721964712431e-05
sex,0.00014852110563371644,6.726856773193496e-05
ab_anti,0.0001450686190809701,8.829843120616698e-05
me_pres,0.0001412932583738851,8.36789334031303e-05
ca_cleft,0.00013203070357501907,3.286752975834955e-05
rf_inftr,0.00012197912584978564,8.427473717245092e-05
pay_rec,-1.899747842982816e-05,0.00011816026343178159
