feature,mean_abs_shap
ab_nicu,0.9431882752113688
mage_c,0.7448845286664435
dbwt,0.3455741266023455
gestrec10,0.30008961661802475
ab_aven1,0.20480463396644377
mracehisp,0.11877609352267184
wtgain,0.08530038878253324
ca_cchd,0.08167299659544429
ca_disor,0.07332670504589503
dmeth_rec,0.058336189581394686
meduc,0.05669919838146233
year,0.05576929855823307
ab_aven6,0.05275506566825864
rf_ghype,0.044416360934730205
precare,0.0440998210060442
fracehisp,0.04049546338469664
bmi,0.036336903311204656
me_pres,0.03378316398877208
feduc,0.03370151644275899
ab_anti,0.03196953024980895
fagecomb,0.027619823807986263
bfacil3,0.0256168638109385
pay_rec,0.017015412952191937
rf_inftr,0.015654375400238237
rf_phype,0.009585177655883596
sex,0.008516420958322753
rf_artec,0.008435541266183186
rf_pdiab,0.0063982872603672095
apgar5,0.00614515646881736
ld_augm,0.005363657988069408
rf_ppterm,0.004031739180015426
rf_fedrg,0.0038547719826771067
ld_indl,0.0035827482383340233
ca_clpal,0.0035147917216296013
ca_cleft,0.003202064547112481
rf_ehype,0.0019584952124319923
ca_anen,0.0019410588503706537
wic,0.0016582019706978055
ca_limb,0.001472061967561601
ca_omph,0.0014333107114677644
ca_mnsb,0.0008466648738638547
ca_gast,0.0007337402980119472
ca_hypo,0.0005740074135078561
ca_cdh,0.0003721752026563277
ab_surf,0.000293047709564988
apgar10,0.00023429565555689393
rf_gdiab,0.00013312384495415525
ab_seiz,2.1137512082961648e-05
