feature,importance_mean,importance_std
mage_c,0.016239065926962216,0.0006759583953433538
ca_disor,0.015762195125159507,0.0004442879451083579
ca_cchd,0.015322882661784299,0.0004880976084724469
ab_nicu,0.008834365703765047,0.0007949816242664772
dbwt,0.003883318990772803,0.0004920388811240574
gestrec10,0.0030075501441361183,0.0006203718498643158
dmeth_rec,0.001570370952273318,0.00038545052936658336
ab_aven1,0.0012086686057968716,0.0002869409117564693
bfacil3,0.001187660201197177,0.00036962829818659824
precare,0.0011063744774104072,0.0002311625842492635
meduc,0.0010195071994976161,0.0003146045436796098
ab_aven6,0.0009142000112672764,0.0002027020438633105
wtgain,0.0008078283977592269,0.0005032290001142666
year,0.0006699587711306403,0.0002761568724485794
rf_ghype,0.000643564593872643,0.00023509606902383557
bmi,0.00048327517411286895,0.0004471936790583546
rf_phype,0.0004647128590204681,0.0001300945791574099
mracehisp,0.0002788511278293982,0.00036323136550437567
ld_indl,0.0002688792106371643,7.906108897203809e-05
me_pres,0.00021698817661175012,0.00019593773621532818
pay_rec,0.00020551463715409794,0.0001028716455450512
fracehisp,0.0001946079298987248,0.00016303737067110914
fagecomb,0.00016118132865454473,0.00019775898906619662
rf_inftr,0.00015855423216653216,0.00014291397700698553
apgar5,0.0001545277977523133,9.887307423760338e-05
sex,0.00015148880518368394,0.00014206791539821028
ab_anti,0.0001266043041147122,0.000164914619234032
rf_fedrg,0.00012017797727034569,0.00019171759033402585
feduc,-2.433210175268978e-05,0.00024223216738128773
ld_augm,-4.685572214368043e-05,0.00012077824214231965
