feature,importance_gain
ab_nicu,1013738.5376785398
mage_c,588690.9998421669
ca_disor,249412.34772390127
dbwt,188791.59734731913
ca_cchd,149171.96126520634
gestrec10,133728.7421797514
ab_aven1,82056.39114195108
bmi,61306.11713922024
wtgain,55884.95551341772
fagecomb,39526.42038959265
mracehisp,35782.754001140594
meduc,35713.725209891796
precare,32253.058558523655
feduc,24528.423868119717
ab_aven6,21037.33444851637
dmeth_rec,20426.62152737379
year,16593.55278277397
fracehisp,15082.881162464619
rf_ghype,13165.65810918808
bfacil3,12092.375392258167
rf_fedrg,10206.237778902054
rf_artec,9164.560315966606
rf_inftr,8624.179037332535
pay_rec,7499.4993587732315
ab_anti,7492.779918253422
me_pres,7279.012431740761
ca_cleft,4824.95167607069
ca_clpal,4228.171402275562
rf_pdiab,4175.514535784721
ca_hypo,4153.948003709316
rf_phype,3753.3780977725983
ca_limb,3371.090909600258
apgar5,3186.8876299858093
ca_cdh,2961.138575911522
ca_omph,2262.4958419799805
rf_ehype,2240.091388821602
ca_mnsb,2230.5117641687393
ca_gast,1528.7574546933174
ld_augm,1475.6358610391617
rf_ppterm,1359.453550696373
sex,1247.1429495811462
ab_surf,884.0634773373604
apgar10,480.935063123703
ca_anen,401.83671367168427
ld_indl,344.0536165237427
rf_gdiab,192.1067898273468
wic,144.59920990467072
ab_seiz,10.94967007637024
