feature,mean_abs_shap
ab_nicu,0.9445908031818655
mage_c,0.7452613355311222
dbwt,0.36107818148468895
gestrec10,0.3284669827761831
ab_aven1,0.21335634234316136
mracehisp,0.12275726643820273
wtgain,0.09963526221265213
ca_cchd,0.08679252765132499
ca_disor,0.07583241857251062
dmeth_rec,0.06949130032243421
year,0.06918388163915888
meduc,0.0623537133799033
precare,0.05713048638555259
ab_aven6,0.05041891191817729
rf_ghype,0.049196306584397574
bmi,0.04739374168519024
feduc,0.045833230981377086
fracehisp,0.04204359671150188
fagecomb,0.040812606243171776
me_pres,0.0390482243449211
ab_anti,0.03305358864152462
bfacil3,0.029636690826562687
pay_rec,0.028277042528969436
rf_inftr,0.016221356516127244
rf_fedrg,0.013006624522687641
rf_phype,0.012656047189561478
apgar5,0.011810782441781511
ld_augm,0.01107372437714269
sex,0.00710150055809452
ld_indl,0.0006968704695989619
