year,nhw,nhb,his,as_pi,ai_an,total
1989,1.858,2.8401,2.4956,3.4586,2.2252,2.0729
1990,2.0429,2.496,2.5259,3.0726,1.7313,2.1864
1991,2.1327,4.1453,3.1321,3.9852,2.5975,2.4734
1992,2.1559,3.7759,2.8107,3.3929,1.3557,2.4163
1993,2.1618,3.9442,3.05,3.6772,1.6801,2.4735
1994,2.247,4.4031,2.9457,3.4705,1.7887,2.5522
1995,2.3477,4.6167,3.0536,3.9467,2.1375,2.6733
1996,2.2568,3.6629,3.0506,3.4698,3.8211,2.5543
1997,2.3421,4.0062,3.0959,3.2728,2.9714,2.6442
1998,2.1455,3.9135,2.9038,2.5507,4.8005,2.4471
1999,2.2901,4.102,2.9894,3.22,1.2259,2.5777
2000,2.2779,4.288,3.0878,3.3759,2.1791,2.6181
2001,2.2916,4.1802,3.1852,3.3607,2.0046,2.6464
2002,2.3522,4.3737,3.2214,3.4018,2.8941,2.7282
2003,2.3454,4.05,3.1124,3.4229,2.7306,2.688
2004,2.3025,3.9803,3.0681,3.0206,2.5912,2.6416
2005,2.34,4.1311,2.9921,3.0243,2.4808,2.6673
2006,2.2979,4.1247,2.997,2.7026,2.1427,2.6338
2007,2.3084,4.0036,2.9514,2.7788,2.4209,2.6316
2008,2.3596,3.9472,2.6892,2.8997,2.6324,2.6085
2009,2.312,3.8534,3.0372,2.8626,2.4552,2.653
2010,2.241,3.669,3.1247,2.7098,2.5243,2.6098
2011,2.2444,3.4495,3.1026,2.8682,2.7134,2.5988
2012,2.2443,3.424,3.134,2.9857,2.7515,2.6121
2013,2.2209,3.5198,3.0942,3.2385,2.5548,2.6115
2014,2.2772,3.4769,3.0376,2.9249,2.2945,2.6176
2015,2.067,3.1757,2.8561,2.7517,1.959,2.4159
2016,2.2365,3.1946,2.7279,2.8876,1.4773,2.4889
2017,2.2194,3.238,2.8676,2.8647,1.9782,2.5303
2018,2.2135,3.2193,2.693,2.8446,1.8792,2.4829
2019,2.2031,3.1329,2.8397,2.8474,1.8979,2.5095
2020,2.1951,3.0829,2.8259,2.8389,1.8602,2.4992
2021,2.1871,3.0344,2.8122,2.8304,1.8239,2.489
2022,2.1792,2.9875,2.7987,2.8219,1.789,2.4789
2023,2.1713,2.9419,2.7853,2.8135,1.7554,2.4689
2024,2.1635,2.8978,2.772,2.8051,1.7231,2.4589
