year,ethnicity,prevalence
2000,Non-Hispanic White,12.12899947
2000,Non-Hispanic Black,10.49944926
2000,Hispanic,11.96484207
2000,Non-Hispanic Asian or Pacific Islander,9.429186159
2000,American Indian or Alaska Native,7.624408517
2001,Non-Hispanic White,12.3238491
2001,Non-Hispanic Black,10.77130863
2001,Hispanic,12.59871856
2001,Non-Hispanic Asian or Pacific Islander,9.882582915
2001,American Indian or Alaska Native,7.280861548
2002,Non-Hispanic White,12.77688496
2002,Non-Hispanic Black,11.48815316
2002,Hispanic,13.11324859
2002,Non-Hispanic Asian or Pacific Islander,10.14923355
2002,American Indian or Alaska Native,11.57030609
2003,Non-Hispanic White,12.77435361
2003,Non-Hispanic Black,11.25591378
2003,Hispanic,12.9839833
2003,Non-Hispanic Asian or Pacific Islander,10.36393504
2003,American Indian or Alaska Native,11.76437643
2004,Non-Hispanic White,12.69566529
2004,Non-Hispanic Black,11.58229918
2004,Hispanic,13.24237124
2004,Non-Hispanic Asian or Pacific Islander,9.73124518
2004,American Indian or Alaska Native,10.927699
2005,Non-Hispanic White,12.98699078
2005,Non-Hispanic Black,12.00886846
2005,Hispanic,13.1531539
2005,Non-Hispanic Asian or Pacific Islander,9.810701325
2005,American Indian or Alaska Native,10.48320955
2006,Non-Hispanic White,12.74438731
2006,Non-Hispanic Black,12.0984914
2006,Hispanic,13.48420385
2006,Non-Hispanic Asian or Pacific Islander,8.802434176
2006,American Indian or Alaska Native,10.42590451
2007,Non-Hispanic White,12.84050237
2007,Non-Hispanic Black,12.00401808
2007,Hispanic,13.41593134
2007,Non-Hispanic Asian or Pacific Islander,9.280463087
2007,American Indian or Alaska Native,11.31863802
2008,Non-Hispanic White,13.07098861
2008,Non-Hispanic Black,11.97861347
2008,Hispanic,12.3567539
2008,Non-Hispanic Asian or Pacific Islander,9.655643983
2008,American Indian or Alaska Native,11.70828516
2009,Non-Hispanic White,12.63614897
2009,Non-Hispanic Black,11.89181613
2009,Hispanic,13.90501611
2009,Non-Hispanic Asian or Pacific Islander,9.770403251
2009,American Indian or Alaska Native,11.79584525
2010,Non-Hispanic White,12.21548455
2010,Non-Hispanic Black,11.59821697
2010,Hispanic,14.54492811
2010,Non-Hispanic Asian or Pacific Islander,9.664682879
2010,American Indian or Alaska Native,12.11423055
2011,Non-Hispanic White,12.27047064
2011,Non-Hispanic Black,11.28257009
2011,Hispanic,14.85759471
2011,Non-Hispanic Asian or Pacific Islander,10.78725813
2011,American Indian or Alaska Native,12.59879618
2012,Non-Hispanic White,12.26855834
2012,Non-Hispanic Black,11.4522829
2012,Hispanic,15.30731027
2012,Non-Hispanic Asian or Pacific Islander,10.78982673
2012,American Indian or Alaska Native,13.60983158
2013,Non-Hispanic White,12.23032803
2013,Non-Hispanic Black,11.87066246
2013,Hispanic,15.60781131
2013,Non-Hispanic Asian or Pacific Islander,11.6170677
2013,American Indian or Alaska Native,14.71473674
2014,Non-Hispanic White,12.78614062
2014,Non-Hispanic Black,12.41869586
2014,Hispanic,16.20042306
2014,Non-Hispanic Asian or Pacific Islander,10.0865401
2014,American Indian or Alaska Native,13.91263277
2015,Non-Hispanic White,
2015,Non-Hispanic Black,
2015,Hispanic,
2015,Non-Hispanic Asian or Pacific Islander,
2015,American Indian or Alaska Native,
2016,Non-Hispanic White,12.64042954
2016,Non-Hispanic Black,12.42453041
2016,Hispanic,15.99604572
2016,Non-Hispanic Asian or Pacific Islander,9.100725422
2016,American Indian or Alaska Native,10.74198626
2017,Non-Hispanic White,
2017,Non-Hispanic Black,
2017,Hispanic,
2017,Non-Hispanic Asian or Pacific Islander,
2017,American Indian or Alaska Native,
2018,Non-Hispanic White,12.64755577
2018,Non-Hispanic Black,13.17196251
2018,Hispanic,16.76941018
2018,Non-Hispanic Asian or Pacific Islander,8.87139125
2018,American Indian or Alaska Native,13.05278228
2019,Non-Hispanic White,
2019,Non-Hispanic Black,
2019,Hispanic,
2019,Non-Hispanic Asian or Pacific Islander,
2019,American Indian or Alaska Native,
2020,Non-Hispanic White,
2020,Non-Hispanic Black,
2020,Hispanic,
2020,Non-Hispanic Asian or Pacific Islander,
2020,American Indian or Alaska Native,
2021,Non-Hispanic White,
2021,Non-Hispanic Black,
2021,Hispanic,
2021,Non-Hispanic Asian or Pacific Islander,
2021,American Indian or Alaska Native,
2022,Non-Hispanic White,
2022,Non-Hispanic Black,
2022,Hispanic,
2022,Non-Hispanic Asian or Pacific Islander,
2022,American Indian or Alaska Native,
2023,Non-Hispanic White,
2023,Non-Hispanic Black,
2023,Hispanic,
2023,Non-Hispanic Asian or Pacific Islander,
2023,American Indian or Alaska Native,
2024,Non-Hispanic White,
2024,Non-Hispanic Black,
2024,Hispanic,
2024,Non-Hispanic Asian or Pacific Islander,
2024,American Indian or Alaska Native,
