year,p_ds_lb_wt_lt35_sv,p_ds_lb_wt_gte35_sv,p_ds_lb_nt_lt35_sv,p_ds_lb_nt_gte35_sv
1989,0.000854624,0.003036295,0.000909759,0.006060732
1990,0.000847219,0.003196374,0.000914604,0.006090613
1991,0.000843553,0.003336383,0.000916931,0.006157569
1992,0.000826879,0.003413472,0.000923003,0.006209347
1993,0.000812933,0.003489634,0.000928493,0.006269132
1994,0.00079805,0.003543592,0.00093338,0.00633894
1995,0.000790261,0.003631887,0.000937992,0.006393352
1996,0.000752232,0.003597535,0.000940334,0.006448178
1997,0.000745944,0.003744428,0.000941259,0.006533399
1998,0.000733317,0.003848083,0.000940574,0.006598185
1999,0.000730361,0.003937366,0.00093961,0.006633513
2000,0.000715773,0.003933064,0.000941171,0.006712365
2001,0.00069915,0.004214803,0.000944612,0.006808773
2002,0.000747637,0.004139574,0.000949117,0.006887337
2003,0.000744611,0.004122512,0.000955566,0.006932646
2004,0.000730633,0.004161751,0.000956193,0.006938503
2005,0.000738965,0.004199691,0.000951513,0.006911407
2006,0.000736133,0.00428037,0.000942685,0.006882386
2007,0.000755363,0.004319235,0.000941096,0.00693511
2008,0.000789751,0.004086654,0.000942972,0.00704846
2009,0.000724076,0.004505999,0.000949294,0.007122595
2010,0.000762308,0.004085467,0.000958511,0.007151225
2011,0.000793367,0.004040131,0.000970914,0.007146888
2012,0.0007872,0.003989628,0.00097727,0.007130045
2013,0.000796742,0.003975419,0.000986042,0.007088331
2014,0.000825099,0.003856675,0.000998053,0.007008285
2015,0.000772331,0.003883184,0.001005258,0.006960514
2016,0.000790217,0.003769147,0.001015505,0.006909363
2017,0.00079456,0.003719461,0.001018868,0.006937219
2018,0.000798904,0.003669775,0.001026758,0.006946705
